"年度","關別","幣別","類型","出入境","數量","備註"
"107","臺北關","TRL","現鈔","出境","3055",
"110","臺北關","TRL","現鈔","出境","9300",
"104","臺北關","TWD","有價證券","出境","259615328",
"104","臺北關","TWD","有價證券","入境","68485424",
"107","臺北關","TWD","現鈔","入境","452682630",
"107","臺北關","TWD","現鈔","出境","23651062",
"108","臺北關","TWD","現鈔","入境","31805234",
"108","臺北關","TWD","現鈔","出境","30499941",
"109","臺北關","TWD","現鈔","入境","8860664",
"109","臺北關","TWD","現鈔","出境","5274300",
"110","臺北關","TWD","現鈔","入境","2329298",
"110","臺北關","TWD","現鈔","出境","3541454",
"104","臺北關","TWD","新臺幣","出境","219706800",
"104","臺北關","TWD","新臺幣","入境","10419067",
"107","臺北關","UAH","現鈔","出境","715",
"108","臺北關","UAH","現鈔","出境","1100",
"104","臺北關","USD","外幣","出境","87566248",
"104","臺北關","USD","外幣","入境","47882500",
"104","臺北關","USD","有價證券","出境","9787354",
"104","臺北關","USD","有價證券","入境","142400",
"107","臺北關","USD","現鈔","入境","85308751",
"107","臺北關","USD","現鈔","出境","102567088",
"108","臺北關","USD","現鈔","入境","71716021",
"108","臺北關","USD","現鈔","出境","84974133",
"109","臺北關","USD","現鈔","入境","24612019",
"109","臺北關","USD","現鈔","出境","21734255",
"110","臺北關","USD","現鈔","入境","6718274",
"110","臺北關","USD","現鈔","出境","11946582",
"107","臺北關","VEB","現鈔","入境","18700",
"104","臺北關","VND","外幣","出境","7696000",
"107","臺北關","VND","現鈔","入境","7540000",
"107","臺北關","VND","現鈔","出境","381181005",
"108","臺北關","VND","現鈔","入境","1300000",
"108","臺北關","VND","現鈔","出境","31901000",
"109","臺北關","VND","現鈔","出境","208000000",
"110","臺北關","VND","現鈔","出境","1004121",
"107","臺北關","WST","現鈔","出境","1900",
"107","臺北關","XXX","物品（重量:公斤）","入境","9782300",
"107","臺北關","XXX","物品（重量:公斤）","出境","79000",
"110","臺北關","XXX","物品（重量:公斤）","入境","18.08",
"110","臺北關","XXX","物品（重量:公斤）","出境","9.94",
"108","臺北關","ZAR","現鈔","出境","30000",
"110","臺北關","ZAR","現鈔","出境","4040",
